symbol,companyName,primaryExchange,sector,calculationPrice,open,openTime,close,closeTime,high,low,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,iexRealtimePrice,iexRealtimeSize,iexLastUpdated,delayedPrice,delayedPriceTime,extendedPrice,extendedChange,extendedChangePercent,extendedPriceTime,previousClose,change,changePercent,iexMarketPercent,iexVolume,avgTotalVolume,iexBidPrice,iexBidSize,iexAskPrice,iexAskSize,marketCap,peRatio,week52High,week52Low,ytdChange
VCYT,Veracyte Inc.,NASDAQ Global Market,Healthcare,close,7.67,1528291800396,7.59,1528315200328,7.95,7.58,7.59,Close,"June 6, 2018",1528315200328,204854,7.6,100,1528315140087,7.59,1528315200328,7.59,0,0,1528317007704,7.67,-0.08,-0.01043,0.04965,10171,124921,0,0,0,0,260686170,-8.07,9.8,5.23,0.13093904761904765
VDSI,VASCO Data Security International Inc.,NASDAQ Capital Market,Technology,previousclose,21.7,1527859800445,21.8,1527883200513,22.1,21.1,21.8,Previous close,"June 1, 2018",1527811200000,282349,,,,21.8,1527883200513,21.8,0,0,1527885367090,21.8,0,0,,,333810,,,,,878801600,49.55,22.3,11.05,0.546099290780142
VEAC,Vantage Energy Acquisition Corp.,NASDAQ Capital Market,Industrials,close,9.86,1528309631040,9.865,1528315200230,9.89,9.85,9.865,Close,"June 6, 2018",1528315200230,1206,0,0,0,9.865,1528315200230,9.82,-0.045,-0.00456,1527796881244,9.87,-0.005,-0.00051,0,0,57580,0,0,0,0,156153519,,9.97,9.62,0.014922098765431952
VEACU,Vantage Energy Acquisition Corp. Unit,NASDAQ Capital Market,Industrials,close,10.25,1528315200184,10.25,1528315200184,10.25,10.25,10.25,Close,"June 6, 2018",1528315200184,146,0,0,0,10.25,1528315200184,,,,,10.25,0,0,0,0,25439,0,0,0,0,0,,10.4,9.97,0.01084812623274156
VEACW,Vantage Energy Acquisition Corp. Warrant,NASDAQ Capital Market,,previousclose,1.25,1527088166890,1.3,1527105600448,1.31,1.25,1.3,Previous close,"May 23, 2018",1527033600000,114400,0,0,0,1.3,1527105600448,,,,,1.3,0,0,0,0,56372,0,0,0,0,0,,1.6199,1.05,0.11111111111111122
VEC,Vectrus Inc.,New York Stock Exchange,Industrials,close,31.9,1528291800803,32.13,1528315323497,32.44,31.74,32.13,Close,"June 6, 2018",1528315323497,103093,32.06,100,1528314927233,32.13,1528315323497,32.13,0,0,1528317007745,31.9,0.23,0.00721,0.01358,1400,107407,0,0,0,0,360640743,14.67,41.48,25.17,0.014790543272267797
VECO,Veeco Instruments Inc.,Nasdaq Global Select,Technology,close,17.25,1528291800028,17.25,1528315200240,17.45,17.05,17.25,Close,"June 6, 2018",1528315200240,281456,17.275,100,1528315192069,17.25,1528315200240,17.25,0,0,1528317007729,17.3,-0.05,-0.00289,0.04492,12643,501927,0,0,0,0,839936983,191.67,33.4,10.85,0.0749916199376947
VEDL,Vedanta Limited American Depositary Shares (Each representing four equity shares),New York Stock Exchange,Basic Materials,close,14.98,1528291856594,15.14,1528315324459,15.14,14.91,15.14,Close,"June 6, 2018",1528315324459,443312,15.135,100,1528315178169,15.14,1528315324459,15.058,-0.082,-0.00542,1528315861194,14.81,0.33,0.02228,0.02138,9478,686637,0,0,0,0,14069589267,,21.99,14.29,-0.22461681825347177
VEEV,Veeva Systems Inc. Class A,New York Stock Exchange,Technology,close,81.72,1528291800809,81.87,1528315322051,82.25,81.14,81.87,Close,"June 6, 2018",1528315322051,704748,81.85,90,1528315193877,81.87,1528315322051,81.87,0,0,1528317711000,81.52,0.35,0.00429,0.02654,18704,1024257,0,0,0,0,11705359811,154.47,82.66,52.17,0.4845878027964408
VEON,VEON Ltd.,Nasdaq Global Select,Communication Services,close,2.35,1528291800597,2.33,1528315200519,2.36,2.3,2.33,Close,"June 6, 2018",1528315200519,3736718,2.325,900,1528315197969,2.33,1528315200519,2.32,-0.01,-0.00429,1528315861194,2.34,-0.01,-0.00427,0.06027,225212,3839667,0,0,0,0,4093183545,-9.71,4.47,2.2,-0.3778981385513143
VER,VEREIT Inc.,New York Stock Exchange,Real Estate,close,7.06,1528291800802,7.08,1528315259695,7.1,7.01,7.08,Close,"June 6, 2018",1528315259695,6545557,7.085,180,1528315184380,7.08,1528315259695,7.08,0,0,1528316997575,7.06,0.02,0.00283,0.02757,180461,8370052,0,0,0,0,6855296511,9.7,8.75,6.52,-0.06510758086235585
