,,EPSReportDate,EPSSurpriseDollar,actualEPS,announceTime,consensusEPS,estimatedChangePercent,estimatedEPS,fiscalEndDate,fiscalPeriod,numberOfEstimates,symbolId,yearAgo,yearAgoChangePercent
CAAS,-3q,2017-11-09,-0.01,0.16,,0.17,-0.055555555555555455,0.17,2017-09-30,Q3 2017,1.0,1015,0.18,-0.11111111111111106
CAAS,-4q,2017-08-10,0.14,0.28,BTO,0.14,-0.1764705882352941,0.14,2017-06-30,Q2 2017,1.0,1015,0.17,0.6470588235294118
CABO,-1q,2018-05-09,0.4,7.08,BTO,6.68,0.15172413793103448,6.68,2018-03-31,Q1 2018,4,10081,5.8,0.22068965517241385
CABO,-2q,2018-03-01,-0.09,5.78,BTO,5.87,0.38770685579196207,5.87,2017-12-31,Q4 2017,4,10081,4.23,0.36643026004728124
CABO,-3q,2017-11-08,0.57,5.48,BTO,4.91,0.35261707988980723,4.91,2017-09-30,Q3 2017,4,10081,3.63,0.5096418732782371
CABO,-4q,2017-08-08,-0.13,4.97,BTO,5.1,0.10389610389610379,5.1,2017-06-30,Q2 2017,4,10081,4.62,0.07575757575757568
CAC,-1q,2018-04-24,,0.82,BTO,0.82,0.2812499999999999,0.82,2018-03-31,Q1 2018,1,1017,0.64,0.2812499999999999
CAC,-2q,2018-01-30,0.02,0.71,BTO,0.69,-0.0142857142857143,0.69,2017-12-31,Q4 2017,1,1017,0.7,0.0142857142857143
CAC,-3q,2017-10-31,0.03,0.72,BTO,0.69,-0.0142857142857143,0.69,2017-09-30,Q3 2017,1,1017,0.7,0.0285714285714286
CAC,-4q,2017-07-25,-0.01,0.66,,0.67,0.08064516129032265,0.67,2017-06-30,Q2 2017,1,1017,0.62,0.06451612903225812
CACC,-1q,2018-05-03,,6.11,AMC,6.11,0.3083511777301928,6.11,2018-03-31,Q1 2018,5,1019,4.67,0.3083511777301928
CACC,-2q,2018-01-30,-0.37,5.16,AMC,5.53,0.15448851774530276,5.53,2017-12-31,Q4 2017,1,1019,4.79,0.07724425887265138
CACC,-3q,2017-10-30,0.28,5.43,AMC,5.15,0.1368653421633554,5.15,2017-09-30,Q3 2017,1,1019,4.53,0.1986754966887416
CACC,-4q,2017-07-31,0.33,5.22,AMC,4.89,0.11643835616438351,4.89,2017-06-30,Q2 2017,2,1019,4.38,0.19178082191780818
CACI,-1q,2018-05-02,0.53,2.33,AMC,1.8,0.1180124223602484,1.8,2018-03-31,Q3 2018,8,1023,1.61,0.44720496894409933
CACI,-2q,2018-01-31,0.36,2.0,AMC,1.64,-0.029585798816568074,1.64,2017-12-31,Q2 2018,9,1023,1.69,0.18343195266272194
CACI,-3q,2017-11-01,0.15,1.67,AMC,1.52,-0.22051282051282048,1.52,2017-09-30,Q1 2018,8,1023,1.95,-0.1435897435897436
CACI,-4q,2017-08-16,0.12,1.76,AMC,1.64,-0.26785714285714296,1.64,2017-06-30,Q4 2017,7,1023,2.24,-0.21428571428571436
CADC,-1q,2018-05-15,,0.15,,,,,2018-03-31,,,1025,0.15,
CADC,-2q,2018-04-02,,,,,,,2017-12-31,,,1025,-2.16,
CADC,-3q,2017-11-15,,-0.24,,,,,2017-09-30,,,1025,-2.34,0.8974358974358974
CADC,-4q,2017-09-28,,0.16,,,,,2017-06-30,,,1025,-3.36,1.0476190476190477
CADE,-1q,2018-04-25,0.01,0.46,AMC,0.45,0.2857142857142858,0.45,2018-03-31,Q1 2018,5,12777,0.35,0.31428571428571445
CADE,-2q,2018-01-24,0.02,0.39,AMC,0.37,1.5873015873015872,0.37,2017-12-31,Q4 2017,4,12777,-0.63,1.619047619047619
CADE,-3q,2017-10-24,0.05,0.39,AMC,0.34,2.7894736842105265,0.34,2017-09-30,Q3 2017,4,12777,-0.19,3.0526315789473686
CADE,-4q,2017-07-26,0.03,0.35,AMC,0.32,3.0,0.32,2017-06-30,Q2 2017,4,12777,-0.16,3.1875
CAE,-1q,2018-05-25,0.04,0.29,BTO,0.25,0.08695652173913039,0.25,2018-03-31,Q4 2018,3,1027,0.23,0.2608695652173912
CAE,-2q,2018-02-09,,0.22,BTO,0.22,0.09999999999999995,0.22,2017-12-31,Q3 2018,3,1027,0.2,0.09999999999999995
CAE,-3q,2017-11-10,-0.02,0.17,BTO,0.19,0.1875,0.19,2017-09-30,Q2 2018,3,1027,0.16,0.06250000000000006
CAE,-4q,2017-08-10,-0.01,0.18,BTO,0.19,-0.050000000000000044,0.19,2017-06-30,Q1 2018,3,1027,0.2,-0.10000000000000009
CAF,-1q,1996-10-24,-0.05,0.71,,0.76,0.07042253521126768,0.76,1996-09-30,Q3 1996,2,1028,0.71,
CAF,-2q,1996-07-25,0.02,0.77,,0.75,0.0714285714285715,0.75,1996-06-30,Q2 1996,2,1028,0.7,0.10000000000000009
CAF,-3q,1996-04-24,0.08,0.78,,0.7,-0.054054054054054106,0.7,1996-03-31,Q1 1996,2,1028,0.74,0.054054054054054106
CAF,-4q,1995-10-25,-0.04,0.71,,0.75,0.10294117647058816,0.75,1995-09-30,Q3 1995,3,1028,0.68,0.0441176470588234
CAFD,-1q,2018-03-28,-0.03,0.05,,0.08,1.6666666666666667,0.08,2018-02-28,,4,9940,0.03,0.6666666666666669
CAFD,-2q,2018-03-01,,,,,,,2017-11-30,Q4 2017,6,9940,,
CAFD,-3q,2017-10-04,-0.38,0.27,AMC,0.65,0.7105263157894737,0.65,2017-08-31,Q3 2017,9,9940,0.38,-0.28947368421052627
CAFD,-4q,2017-06-29,-0.04,0.12,AMC,0.16,-0.6799999999999999,0.16,2017-05-31,Q2 2017,8,9940,0.5,-0.76
CAG,-1q,2018-06-27,0.07,0.5,BTO,0.43,0.16216216216216217,0.43,2018-05-31,Q4 2018,6,1031,0.37,0.35135135135135137
CAG,-2q,2018-03-22,0.05,0.61,BTO,0.56,0.16666666666666682,0.56,2018-02-28,Q3 2018,6,1031,0.48,0.27083333333333337
CAG,-3q,2017-12-21,0.03,0.55,BTO,0.52,0.06122448979591842,0.52,2017-11-30,Q2 2018,6,1031,0.49,0.12244897959183684
CAG,-4q,2017-09-28,0.05,0.46,BTO,0.41,-0.3278688524590164,0.41,2017-08-31,Q1 2018,6,1031,0.61,-0.24590163934426224
CAH,-1q,2018-05-03,-0.12,1.39,BTO,1.51,-0.013071895424836612,1.51,2018-03-31,Q3 2018,11,1032,1.53,-0.09150326797385629
CAH,-2q,2018-02-08,0.17,1.31,BTO,1.14,-0.1492537313432837,1.14,2017-12-31,Q2 2018,10,1032,1.34,-0.022388059701492557
CAH,-3q,2017-11-06,0.08,1.09,BTO,1.01,-0.1854838709677419,1.01,2017-09-30,Q1 2018,9,1032,1.24,-0.1209677419354838
CAH,-4q,2017-08-02,0.07,1.31,BTO,1.24,0.08771929824561413,1.24,2017-06-30,Q4 2017,9,1032,1.14,0.14912280701754402
CAI,-1q,2018-04-26,-0.01,0.83,AMC,0.84,2.1111111111111107,0.84,2018-03-31,Q1 2018,4,1046,0.27,2.0740740740740735
CAI,-2q,2018-02-14,0.17,1.03,AMC,0.86,10.555555555555555,0.86,2017-12-31,Q4 2017,4,1046,-0.09,12.444444444444446
CAI,-3q,2017-10-19,0.18,0.9,AMC,0.72,3.4999999999999996,0.72,2017-09-30,Q3 2017,4,1046,0.16,4.625
CAI,-4q,2017-07-26,0.09,0.65,AMC,0.56,0.5555555555555558,0.56,2017-06-30,Q2 2017,3,1046,0.36,0.8055555555555557
CAJ,-1q,2018-05-11,,0.49,,,,,2018-03-31,Q1 2018,,1034,0.45,0.08888888888888884
CAJ,-2q,2018-01-30,0.07,0.63,,0.56,1.153846153846154,0.56,2017-12-31,Q4 2017,1.0,1034,0.26,1.423076923076923
CAJ,-3q,2017-10-24,0.14,0.52,BTO,0.38,0.7272727272727273,0.38,2017-09-30,Q3 2017,1.0,1034,0.22,1.3636363636363638
CAJ,-4q,2017-07-27,,0.57,BTO,0.57,0.18749999999999994,0.57,2017-06-30,Q2 2017,2.0,1034,0.48,0.18749999999999994
CAKE,-1q,2018-04-25,-0.12,0.56,AMC,0.68,-0.055555555555555455,0.68,2018-03-31,Q1 2018,11,1036,0.72,-0.22222222222222213
CAKE,-2q,2018-02-21,,0.53,AMC,0.53,-0.20895522388059704,0.53,2017-12-31,Q4 2017,11,1036,0.67,-0.20895522388059704
CAKE,-3q,2017-11-01,-0.04,0.56,AMC,0.6,-0.14285714285714282,0.6,2017-09-30,Q3 2017,13,1036,0.7,-0.19999999999999987
CAKE,-4q,2017-08-02,0.02,0.78,AMC,0.76,-0.025641025641025664,0.76,2017-06-30,Q2 2017,10,1036,0.78,
CAL,-1q,2018-05-31,-0.05,0.43,AMC,0.48,0.1999999999999999,0.48,2018-04-30,Q1 2019,2,979,0.4,0.07499999999999993
CAL,-2q,2018-03-13,0.04,0.48,AMC,0.44,0.33333333333333326,0.44,2018-01-31,Q4 2018,3,979,0.33,0.4545454545454544
CAL,-3q,2017-11-21,-0.05,0.8,AMC,0.85,0.049382716049382616,0.85,2017-10-31,Q3 2018,3,979,0.81,-0.012345679012345689
CAL,-4q,2017-08-29,0.03,0.48,AMC,0.45,-0.021739130434782625,0.45,2017-07-31,Q2 2018,5,979,0.46,0.04347826086956513
CALA,-1q,2018-05-10,-0.08,-0.37,,-0.29,-0.31818181818181807,-0.29,2018-03-31,Q1 2018,3,9201,-0.22,-0.6818181818181818
CALA,-2q,2018-03-08,-0.07,-0.31,AMC,-0.24,0.4666666666666667,-0.24,2017-12-31,Q4 2017,3,9201,-0.45,0.3111111111111111
CALA,-3q,2017-11-02,0.08,-0.17,,-0.25,0.4318181818181818,-0.25,2017-09-30,Q3 2017,3,9201,-0.44,0.6136363636363636
CALA,-4q,2017-08-08,0.14,-0.15,AMC,-0.29,0.47272727272727283,-0.29,2017-06-30,Q2 2017,2,9201,-0.55,0.7272727272727273
CALI,-1q,2018-04-03,,,,,,,2017-12-31,,,1038,,
CALI,-2q,2017-11-14,,-0.23,BTO,,,,2017-09-30,,,1038,-0.05,-3.5999999999999996
CALI,-3q,2017-08-14,,-0.08,,,,,2017-06-30,,,1038,-0.12,0.3333333333333333
CALI,-4q,2017-05-15,,-0.03,,,,,2017-03-31,,,1038,-0.26,0.8846153846153846
CALL,-1q,2018-05-10,,0.18,,,,,2018-03-31,,,1039,0.21,-0.14285714285714285
CALL,-2q,2018-03-16,,0.37,,,,,2017-12-31,Q4 2017,,1039,0.07,4.285714285714286
CALL,-3q,2017-11-09,,0.23,AMC,,,,2017-09-30,Q3 2017,,1039,0.23,
CALL,-4q,2017-08-09,0.04,0.18,AMC,0.14,-0.26315789473684204,0.14,2017-06-30,Q2 2017,1.0,1039,0.19,-0.05263157894736847
CALM,-1q,2018-04-02,,1.27,BTO,,,,2018-02-28,Q3 2018,,1040,0.09,13.11111111111111
CALM,-2q,2018-01-05,0.05,0.55,BTO,0.5,2.0416666666666665,0.5,2017-11-30,Q2 2018,1.0,1040,-0.48,2.1458333333333335
CALM,-3q,2017-10-02,-0.06,-0.33,BTO,-0.27,0.578125,-0.27,2017-08-31,Q1 2018,1.0,1040,-0.64,0.484375
CALM,-4q,2017-07-24,,-0.51,BTO,,,,2017-05-31,Q4 2017,,1040,-0.01,-50.0
CALX,-1q,2018-05-08,-0.01,-0.25,AMC,-0.24,0.625,-0.24,2018-03-31,Q1 2018,2,1041,-0.64,0.609375
CALX,-2q,2018-02-13,-0.02,-0.21,AMC,-0.19,0.13636363636363635,-0.19,2017-12-31,Q4 2017,3,1041,-0.22,0.0454545454545455
CALX,-3q,2017-11-07,-0.05,-0.34,AMC,-0.29,-10.666666666666666,-0.29,2017-09-30,Q3 2017,3,1041,0.03,-12.333333333333334
CALX,-4q,2017-08-08,-0.13,-0.36,AMC,-0.23,-1.3,-0.23,2017-06-30,Q2 2017,3,1041,-0.1,-2.6
CAMP,-1q,2018-06-27,0.01,0.22,AMC,0.21,-0.19230769230769237,0.21,2018-05-31,Q1 2019,4,1043,0.26,-0.15384615384615388
CAMP,-2q,2018-04-26,,0.23,AMC,0.23,0.0454545454545455,0.23,2018-02-28,Q4 2018,2,1043,0.22,0.0454545454545455
CAMP,-3q,2017-12-21,0.03,0.27,AMC,0.24,0.3333333333333333,0.24,2017-11-30,Q3 2018,4,1043,0.18,0.5000000000000001
CAMP,-4q,2017-09-28,0.01,0.23,AMC,0.22,-0.0833333333333333,0.22,2017-08-31,Q2 2018,4,1043,0.24,-0.04166666666666659
CAMT,-1q,2018-05-02,,0.11,BTO,0.11,0.22222222222222227,0.11,2018-03-31,Q1 2018,2,1044,0.09,0.22222222222222227
CAMT,-2q,2018-02-07,-0.01,0.09,BTO,0.1,0.4285714285714285,0.1,2017-12-31,Q4 2017,1,1044,0.07,0.28571428571428553
CAMT,-3q,2017-11-07,,0.08,BTO,0.08,1.0,0.08,2017-09-30,Q3 2017,1,1044,0.04,1.0
CAMT,-4q,2017-08-03,0.01,0.1,BTO,0.09,1.2499999999999998,0.09,2017-06-30,Q2 2017,1,1044,0.04,1.5
CANF,-1q,2018-06-01,-0.02,-0.1,,-0.08,,-0.08,2018-03-31,Q1 2018,1,8124,-0.08,-0.25000000000000006
CANF,-2q,2018-03-23,0.09,-0.06,,-0.15,-0.07142857142857129,-0.15,2017-12-31,Q4 2017,2,8124,-0.14,0.5714285714285715
CANF,-3q,2017-11-27,0.09,-0.04,,-0.13,0.27777777777777773,-0.13,2017-09-30,Q3 2017,2,8124,-0.18,0.7777777777777777
CANF,-4q,2017-09-01,0.01,-0.12,,-0.13,-0.625,-0.13,2017-06-30,Q2 2017,2,8124,-0.08,-0.4999999999999999
CAPL,-1q,2018-05-07,-0.06,-0.06,AMC,,,,2018-03-31,Q1 2018,3,4076,0.02,-4.0
CAPL,-2q,2018-02-26,,0.06,BTO,0.06,0.4999999999999999,0.06,2017-12-31,Q4 2017,4,4076,0.04,0.4999999999999999
CAPL,-3q,2017-11-07,0.02,0.09,,0.07,0.16666666666666682,0.07,2017-09-30,Q3 2017,4,4076,0.06,0.5
CAPL,-4q,2017-08-07,-0.01,0.07,AMC,0.08,,0.08,2017-06-30,Q2 2017,5,4076,0.08,-0.12499999999999993
CAPR,-1q,2018-05-10,-0.03,-0.14,AMC,-0.11,0.35294117647058826,-0.11,2018-03-31,Q1 2018,1,9802,-0.17,0.1764705882352941
CAPR,-2q,2018-03-14,-0.01,-0.11,AMC,-0.1,0.28571428571428575,-0.1,2017-12-31,Q4 2017,1,9802,-0.14,0.21428571428571436
CAPR,-3q,2017-11-08,0.07,-0.12,AMC,-0.19,0.3448275862068965,-0.19,2017-09-30,Q3 2017,1,9802,-0.29,0.5862068965517241
CAPR,-4q,2017-08-10,0.02,-0.16,AMC,-0.18,0.30769230769230776,-0.18,2017-06-30,Q2 2017,1,9802,-0.26,0.38461538461538464
CAR,-1q,2018-05-02,0.3,-0.74,AMC,-1.04,-0.10638297872340435,-1.04,2018-03-31,Q1 2018,3,1048,-0.94,0.21276595744680848
CAR,-2q,2018-02-21,0.26,0.45,AMC,0.19,0.2666666666666667,0.19,2017-12-31,Q4 2017,4,1048,0.15,2.0000000000000004
CAR,-3q,2017-11-06,0.13,3.1,AMC,2.97,0.20242914979757085,2.97,2017-09-30,Q3 2017,4,1048,2.47,0.2550607287449392
CAR,-4q,2017-08-07,-0.12,0.3,AMC,0.42,-0.33333333333333337,0.42,2017-06-30,Q2 2017,2,1048,0.63,-0.5238095238095238
CARA,-1q,2018-05-09,-0.04,-0.51,AMC,-0.47,0.4197530864197532,-0.47,2018-03-31,Q1 2018,5,8209,-0.81,0.3703703703703704
CARA,-2q,2018-03-15,-0.01,-0.43,AMC,-0.42,0.4814814814814815,-0.42,2017-12-31,Q4 2017,4,8209,-0.81,0.46913580246913583
CARA,-3q,2017-11-02,-0.07,-0.38,AMC,-0.31,0.26190476190476186,-0.31,2017-09-30,Q3 2017,3,8209,-0.42,0.09523809523809519
CARA,-4q,2017-08-03,0.33,-0.29,AMC,-0.62,-0.2916666666666667,-0.62,2017-06-30,Q2 2017,4,8209,-0.48,0.39583333333333337
CARB,-1q,2018-05-07,0.06,0.17,AMC,0.11,2.666666666666667,0.11,2018-03-31,Q1 2018,4,1049,0.03,4.666666666666667
CARB,-2q,2018-02-13,-0.01,0.18,AMC,0.19,3.75,0.19,2017-12-31,Q4 2017,5,1049,0.04,3.4999999999999996
CARB,-3q,2017-11-02,0.02,0.13,AMC,0.11,0.8333333333333334,0.11,2017-09-30,Q3 2017,5,1049,0.06,1.1666666666666667
CARB,-4q,2017-08-03,,0.04,AMC,0.04,-0.6666666666666666,0.04,2017-06-30,Q2 2017,5,1049,0.12,-0.6666666666666666
CARG,-1q,2018-05-03,0.02,0.03,AMC,0.01,,0.01,2018-03-31,Q1 2018,3,13407,,
CARG,-2q,2018-03-01,0.04,0.02,AMC,-0.02,,-0.02,2017-12-31,Q4 2017,2,13407,,
CARG,-3q,2017-11-14,0.02,0.02,,,,,2017-09-30,Q3 2017,2,13407,,
CARO,-1q,2018-04-30,0.06,0.71,AMC,0.65,0.5853658536585368,0.65,2018-03-31,Q1 2018,1,8905,0.41,0.7317073170731707
CARO,-2q,2018-01-24,0.07,0.57,AMC,0.5,0.08695652173913039,0.5,2017-12-31,Q4 2017,1,8905,0.46,0.23913043478260854
CARO,-3q,2017-10-19,-0.01,0.5,AMC,0.51,0.08510638297872349,0.51,2017-09-30,Q3 2017,2,8905,0.47,0.06382978723404262
CARO,-4q,2017-07-20,0.04,0.56,,0.52,0.2682926829268294,0.52,2017-06-30,Q2 2017,1,8905,0.41,0.3658536585365856
CARS,-1q,2018-05-09,-0.25,0.37,BTO,0.62,,0.62,2018-03-31,Q1 2018,1.0,12936,,
CARS,-2q,2018-03-06,0.17,0.47,BTO,0.3,,0.3,2017-12-31,Q4 2017,1.0,12936,,
CARS,-3q,2017-11-08,0.16,0.47,BTO,0.31,,0.31,2017-09-30,Q3 2017,1.0,12936,,
CARS,-4q,2017-08-09,,0.7,BTO,,,,2017-06-30,Q2 2017,,12936,,
CART,-1q,2018-04-26,,0.12,,,,,2018-03-31,,,11723,0.04,1.9999999999999996
CART,-2q,2018-01-26,,0.12,,,,,2017-12-31,,,11723,0.07,0.7142857142857141
CART,-3q,2017-10-27,,0.07,,,,,2017-09-30,,,11723,0.01,6.0
CART,-4q,2017-07-26,,0.04,,,,,2017-06-30,,,11723,0.08,-0.5
CARV,-1q,2018-03-30,,,,,,,2017-12-31,,,1052,-0.31,
CARV,-2q,2017-11-20,,-0.16,,,,,2017-09-30,,,1052,-0.07,-1.2857142857142856
CARV,-3q,2017-10-02,,,,,,,2017-06-30,,,1052,0.04,
CARV,-4q,2017-08-11,,,,,,,2017-03-31,,,1052,-0.17,
CASA,-1q,2018-05-10,-0.02,0.19,AMC,0.21,2.235294117647059,0.21,2018-03-31,Q1 2018,4.0,13811,-0.17,2.117647058823529
CASA,-2q,2018-03-06,0.22,0.54,AMC,0.32,7.3999999999999995,0.32,2017-12-31,Q4 2017,5.0,13811,-0.05,11.8
CASA,-3q,2010-08-11,,-0.03,,,,,2010-06-30,,,13811,-0.15,0.8
CASA,-4q,2010-05-17,,-0.09,,,,,2010-03-31,,,13811,0.09,-2.0
CASH,-1q,2018-04-30,-0.46,3.67,AMC,4.13,0.0048661800486616965,4.13,2018-03-31,Q2 2018,2,1055,4.11,-0.1070559610705597
CASH,-2q,2018-01-30,0.22,0.85,AMC,0.63,0.10526315789473695,0.63,2017-12-31,Q1 2018,2,1055,0.57,0.4912280701754387
CASH,-3q,2017-10-30,1.38,1.08,AMC,-0.3,-1.2912621359223302,-0.3,2017-09-30,Q4 2017,2,1055,1.03,0.04854368932038839
CASH,-4q,2017-07-26,0.06,1.25,AMC,1.19,0.14423076923076913,1.19,2017-06-30,Q3 2017,2,1055,1.04,0.20192307692307687
CASI,-1q,2018-05-15,0.02,-0.05,,-0.07,-1.3333333333333337,-0.07,2018-03-31,Q1 2018,1,2170,-0.03,-0.6666666666666669
CASI,-2q,2018-03-29,-0.05,-0.08,,-0.03,0.4000000000000001,-0.03,2017-12-31,Q4 2017,2,2170,-0.05,-0.6
CASI,-3q,2017-11-14,0.01,-0.03,,-0.04,-0.3333333333333334,-0.04,2017-09-30,Q3 2017,2,2170,-0.03,
CASI,-4q,2017-08-14,-0.01,-0.04,BTO,-0.03,0.625,-0.03,2017-06-30,Q2 2017,1,2170,-0.08,0.5
CASM,-1q,2018-05-10,0.01,-0.07,BTO,-0.08,,-0.08,2018-03-31,Q1 2018,1,1056,-0.08,0.12499999999999993
CASM,-2q,2018-03-14,,-0.07,BTO,-0.07,,-0.07,2017-12-31,Q4 2017,1,1056,-0.07,
CASM,-3q,2017-11-09,0.08,-0.01,BTO,-0.09,-0.5,-0.09,2017-09-30,Q3 2017,1,1056,-0.06,0.8333333333333333
CASM,-4q,2017-08-08,-0.02,-0.09,BTO,-0.07,0.12499999999999993,-0.07,2017-06-30,Q2 2017,2,1056,-0.08,-0.12499999999999993
CASS,-1q,2018-04-26,,0.65,,,,,2018-03-31,,,1057,0.56,0.16071428571428564
CASS,-2q,2018-02-01,,0.58,,,,,2017-12-31,,,1057,0.57,0.017543859649122823
CASS,-3q,2017-10-26,,0.61,,,,,2017-09-30,,,1057,0.55,0.10909090909090897
CASS,-4q,2017-07-27,,0.58,,,,,2017-06-30,,,1057,0.52,0.11538461538461527
CASY,-1q,2018-06-12,-0.17,0.51,BTO,0.68,-0.1052631578947368,0.68,2018-04-30,Q4 2018,6,1058,0.76,-0.32894736842105265
CASY,-2q,2018-03-07,-0.11,0.48,BTO,0.59,0.017241379310344845,0.59,2018-01-31,Q3 2018,5,1058,0.58,-0.17241379310344826
CASY,-3q,2017-12-11,-0.1,1.28,AMC,1.38,-0.041666666666666706,1.38,2017-10-31,Q2 2018,7,1058,1.44,-0.11111111111111106
CASY,-4q,2017-09-05,,1.46,AMC,1.46,-0.1411764705882353,1.46,2017-07-31,Q1 2018,6,1058,1.7,-0.1411764705882353
CAT,-1q,2018-04-24,0.71,2.82,BTO,2.11,0.6484374999999999,2.11,2018-03-31,Q1 2018,10,1059,1.28,1.2031249999999998
CAT,-2q,2018-01-25,0.39,2.16,BTO,1.77,1.1325301204819278,1.77,2017-12-31,Q4 2017,8,1059,0.83,1.602409638554217
CAT,-3q,2017-10-24,0.73,1.95,BTO,1.22,0.43529411764705883,1.22,2017-09-30,Q3 2017,8,1059,0.85,1.2941176470588236
CAT,-4q,2017-07-25,0.23,1.49,BTO,1.26,0.1559633027522935,1.26,2017-06-30,Q2 2017,7,1059,1.09,0.3669724770642201
CATB,-1q,2018-05-10,-0.06,-0.29,BTO,-0.23,0.4390243902439024,-0.23,2018-03-31,Q1 2018,2,10077,-0.41,0.2926829268292683
CATB,-2q,2018-03-15,0.07,-0.24,AMC,-0.31,0.3404255319148936,-0.31,2017-12-31,Q4 2017,2,10077,-0.47,0.48936170212765956
CATB,-3q,2017-11-09,0.03,-0.31,AMC,-0.34,0.37037037037037035,-0.34,2017-09-30,Q3 2017,4,10077,-0.54,0.425925925925926
CATB,-4q,2017-08-10,0.07,-0.32,AMC,-0.39,0.360655737704918,-0.39,2017-06-30,Q2 2017,3,10077,-0.61,0.47540983606557374
CATC,-1q,2018-04-19,,1.41,,,,,2018-03-31,,,13604,1.06,0.3301886792452829
CATC,-2q,2018-01-25,,1.17,,,,,2017-12-31,,,13604,1.08,0.08333333333333319
CATC,-3q,2017-10-19,,1.22,,,,,2017-09-30,,,13604,1.13,0.07964601769911513
CATC,-4q,2017-07-20,,1.1,,,,,2017-06-30,,,13604,1.0,0.10000000000000009
CATM,-1q,2018-05-03,0.24,0.42,AMC,0.18,-0.6603773584905661,0.18,2018-03-31,Q1 2018,6,11571,0.53,-0.20754716981132082
CATM,-2q,2018-02-20,0.12,0.67,AMC,0.55,-0.22535211267605623,0.55,2017-12-31,Q4 2017,6,11571,0.71,-0.05633802816901398
CATM,-3q,2017-11-02,0.13,0.89,AMC,0.76,-0.11627906976744183,0.76,2017-09-30,Q3 2017,2,11571,0.86,0.03488372093023259
CATM,-4q,2017-08-02,0.07,0.71,AMC,0.64,-0.11111111111111106,0.64,2017-06-30,Q2 2017,6,11571,0.72,-0.013888888888888902
CATO,-1q,2018-05-24,,0.94,,,,,2018-04-30,,,1061,0.85,0.10588235294117644
CATO,-2q,2018-03-22,0.46,-0.14,BTO,-0.6,-0.25,-0.6,2018-01-31,Q4 2018,1.0,1061,-0.48,0.7083333333333333
CATO,-3q,2017-11-16,,0.11,BTO,,,,2017-10-31,,,1061,0.3,-0.6333333333333334
CATO,-4q,2017-08-17,,-0.03,BTO,,,,2017-07-31,,,1061,0.57,-1.0526315789473684
CATS,-1q,2018-05-15,-0.01,-0.27,AMC,-0.26,0.59375,-0.26,2018-03-31,Q1 2018,1,12818,-0.64,0.578125
CATS,-2q,2018-03-07,-0.08,-0.17,AMC,-0.09,0.5,-0.09,2017-12-31,Q4 2017,1,12818,-0.18,0.055555555555555455
CATS,-3q,2017-11-14,-0.04,-0.19,AMC,-0.15,0.8076923076923077,-0.15,2017-09-30,Q3 2017,2,12818,-0.78,0.7564102564102565
CATS,-4q,2017-08-15,-0.1,-0.23,AMC,-0.13,0.7592592592592593,-0.13,2017-06-30,Q2 2017,1,12818,-0.54,0.5740740740740742
CATY,-1q,2018-04-18,-0.01,0.78,AMC,0.79,0.29508196721311486,0.79,2018-03-31,Q1 2018,4,1062,0.61,0.278688524590164
CATY,-2q,2018-01-30,-0.02,0.61,AMC,0.63,0.050000000000000044,0.63,2017-12-31,Q4 2017,4,1062,0.6,0.016666666666666684
CATY,-3q,2017-10-25,0.04,0.64,AMC,0.6,0.03448275862068969,0.6,2017-09-30,Q3 2017,4,1062,0.58,0.10344827586206906
CATY,-4q,2017-07-19,0.03,0.64,AMC,0.61,0.38636363636363635,0.61,2017-06-30,Q2 2017,3,1062,0.44,0.4545454545454546
CAVM,-1q,2018-05-02,,-0.6,,,,,2018-03-31,Q1 2018,,1063,0.2,-4.0
CAVM,-2q,2018-01-31,0.13,0.57,,0.44,1.0,0.44,2017-12-31,Q4 2017,4.0,1063,0.22,1.5909090909090908
CAVM,-3q,2017-11-01,-0.02,0.36,AMC,0.38,3.375,0.38,2017-09-30,Q3 2017,5.0,1063,-0.16,3.25
CAVM,-4q,2017-08-02,-0.04,0.3,AMC,0.34,7.500000000000001,0.34,2017-06-30,Q2 2017,4.0,1063,0.04,6.5
CAW,-1q,2018-04-16,,-0.01,AMC,,,,2018-02-28,,,1064,0.03,-1.3333333333333335
CAW,-2q,2018-02-28,,0.08,,,,,2017-11-30,,,1064,0.03,1.6666666666666667
CAW,-3q,2017-10-16,,0.05,AMC,,,,2017-08-31,,,1064,0.05,
CAW,-4q,2017-07-17,,0.1,AMC,,,,2017-05-31,,,1064,0.06,0.6666666666666669
CB,-1q,2018-04-24,0.1,2.34,AMC,2.24,-0.09677419354838701,2.24,2018-03-31,Q1 2018,8,48,2.48,-0.05645161290322586
CB,-2q,2018-01-30,0.86,3.17,AMC,2.31,-0.1507352941176471,2.31,2017-12-31,Q4 2017,8,48,2.72,0.16544117647058812
CB,-3q,2017-10-26,0.13,-0.13,AMC,-0.26,-1.0902777777777777,-0.26,2017-09-30,Q3 2017,8,48,2.88,-1.0451388888888888
CB,-4q,2017-07-25,0.01,2.5,AMC,2.49,0.04621848739495812,2.49,2017-06-30,Q2 2017,8,48,2.38,0.05042016806722694
CBAK,-1q,2018-05-21,,-0.1,,,,,2018-03-31,,,1067,-0.1,
CBAK,-2q,2018-04-04,,,,,,,2017-12-31,,,1067,-0.11,
CBAK,-3q,2017-11-20,,-0.16,,,,,2017-09-30,,,1067,,
CBAK,-4q,2017-08-21,,-0.18,,,,,2017-06-30,,,1067,-0.15,-0.2
