,,EPSReportDate,EPSSurpriseDollar,actualEPS,announceTime,consensusEPS,estimatedChangePercent,estimatedEPS,fiscalEndDate,fiscalPeriod,numberOfEstimates,symbolId,yearAgo,yearAgoChangePercent
AAPL,-3q,2017-11-02,0.2,2.07,AMC,1.87,0.11976047904191628,1.87,2017-09-30,Q4 2017,10,11,1.67,0.23952095808383228
AAPL,-4q,2017-08-01,0.1,1.67,AMC,1.57,0.1056338028169015,1.57,2017-06-30,Q3 2017,13,11,1.42,0.17605633802816903
AAT,-1q,2018-05-01,0.01,0.51,,0.5,0.13636363636363635,0.5,2018-03-31,Q1 2018,4,12,0.44,0.15909090909090912
AAT,-2q,2018-02-13,-0.08,0.46,AMC,0.54,0.1250000000000001,0.54,2017-12-31,Q4 2017,4,12,0.48,-0.04166666666666659
AAT,-3q,2017-10-31,-0.02,0.52,AMC,0.54,0.1489361702127661,0.54,2017-09-30,Q3 2017,4,12,0.47,0.10638297872340435
AAT,-4q,2017-08-01,-0.01,0.49,AMC,0.5,0.11111111111111108,0.5,2017-06-30,Q2 2017,4,12,0.45,0.08888888888888884
AAU,-1q,2018-05-10,,-0.01,,,,,2018-03-31,,,13,-0.02,0.5
AAU,-2q,2018-04-04,,,,,,,2017-12-31,,,13,-0.04,
AAU,-3q,2017-11-28,,,,,,,2017-09-30,,,13,-0.01,
AAU,-4q,2017-08-09,,-0.01,,,,,2017-06-30,,,13,-0.02,0.5
AAV,-1q,2018-05-03,-0.03,0.04,AMC,0.07,0.16666666666666682,0.07,2018-03-31,Q1 2018,2,14,0.06,-0.3333333333333333
AAV,-2q,2018-03-05,,0.04,,0.04,,0.04,2017-12-31,Q4 2017,2,14,0.04,
AAV,-3q,2017-11-02,-0.02,,,0.02,-0.3333333333333333,0.02,2017-09-30,Q3 2017,2,14,0.03,
AAV,-4q,2017-08-03,,0.06,AMC,0.06,1.5,0.06,2017-06-30,Q2 2017,2,14,-0.12,1.5
AAWW,-1q,2018-05-03,0.29,0.86,BTO,0.57,0.8387096774193546,0.57,2018-03-31,Q1 2018,4,15,0.31,1.774193548387097
AAWW,-2q,2018-02-22,0.35,2.43,BTO,2.08,-0.07142857142857148,2.08,2017-12-31,Q4 2017,4,15,2.24,0.08482142857142853
AAWW,-3q,2017-11-07,-0.05,1.08,BTO,1.13,0.03669724770642185,1.13,2017-09-30,Q3 2017,4,15,1.09,-0.009174311926605512
AAWW,-4q,2017-08-02,0.24,1.09,BTO,0.85,0.06249999999999992,0.85,2017-06-30,Q2 2017,4,15,0.8,0.36250000000000004
AAXN,-1q,2018-05-08,0.28,0.24,AMC,-0.04,-1.5714285714285714,-0.04,2018-03-31,Q1 2018,4,6667,0.07,2.428571428571428
AAXN,-2q,2018-02-27,0.21,0.13,AMC,-0.08,-1.6666666666666667,-0.08,2017-12-31,Q4 2017,3,6667,0.12,0.08333333333333341
AAXN,-3q,2017-11-07,-0.04,0.01,AMC,0.05,-0.28571428571428575,0.05,2017-09-30,Q3 2017,3,6667,0.07,-0.8571428571428571
AAXN,-4q,2017-08-08,,0.04,AMC,0.04,-0.4285714285714286,0.04,2017-06-30,Q2 2017,4,6667,0.07,-0.4285714285714286
AB,-1q,2018-04-26,0.06,0.73,BTO,0.67,0.4565217391304348,0.67,2018-03-31,Q1 2018,2,17,0.46,0.5869565217391304
AB,-2q,2018-02-13,0.18,0.84,BTO,0.66,-0.01492537313432837,0.66,2017-12-31,Q4 2017,2,17,0.67,0.253731343283582
AB,-3q,2017-10-25,-0.01,0.51,BTO,0.52,0.15555555555555556,0.52,2017-09-30,Q3 2017,2,17,0.45,0.13333333333333333
AB,-4q,2017-07-27,0.02,0.49,BTO,0.47,0.17499999999999988,0.47,2017-06-30,Q2 2017,2,17,0.4,0.22499999999999992
ABAC,-1q,2018-05-14,,0.03,,,,,2018-03-31,,,5129,,
ABAC,-2q,2018-03-27,,0.08,,,,,2017-12-31,,,5129,,
ABAC,-3q,2017-11-13,,0.05,,,,,2017-09-30,,,5129,-0.22,1.2272727272727273
ABAC,-4q,2017-08-14,,0.01,,,,,2017-06-30,,,5129,0.04,-0.75
ABAX,-1q,2018-04-26,0.1,0.42,AMC,0.32,-0.030303030303030328,0.32,2018-03-31,Q4 2018,4,18,0.33,0.2727272727272726
ABAX,-2q,2018-01-25,0.02,0.31,AMC,0.29,-0.03333333333333337,0.29,2017-12-31,Q3 2018,4,18,0.3,0.03333333333333337
ABAX,-3q,2017-10-24,,0.29,AMC,0.29,-0.14705882352941188,0.29,2017-09-30,Q2 2018,4,18,0.34,-0.14705882352941188
ABAX,-4q,2017-07-27,-0.04,0.28,AMC,0.32,0.06666666666666674,0.32,2017-06-30,Q1 2018,3,18,0.3,-0.06666666666666654
ABB,-1q,2018-04-19,,0.31,BTO,0.31,0.10714285714285703,0.31,2018-03-31,Q1 2018,1,19,0.28,0.10714285714285703
ABB,-2q,2018-02-08,0.08,0.33,BTO,0.25,-0.24242424242424246,0.25,2017-12-31,Q4 2017,2,19,0.33,
ABB,-3q,2017-10-26,0.04,0.34,BTO,0.3,-0.06250000000000006,0.3,2017-09-30,Q3 2017,2,19,0.32,0.06250000000000006
ABB,-4q,2017-07-20,0.01,0.3,BTO,0.29,-0.03333333333333337,0.29,2017-06-30,Q2 2017,3,19,0.3,
ABBV,-1q,2018-04-26,0.07,1.87,BTO,1.8,0.40625,1.8,2018-03-31,Q1 2018,9,20,1.28,0.46093750000000006
ABBV,-2q,2018-01-26,0.04,1.48,BTO,1.44,0.2,1.44,2017-12-31,Q4 2017,8,20,1.2,0.23333333333333336
ABBV,-3q,2017-10-27,0.02,1.41,BTO,1.39,0.14876033057851235,1.39,2017-09-30,Q3 2017,9,20,1.21,0.16528925619834708
ABBV,-4q,2017-07-28,0.02,1.42,BTO,1.4,0.11111111111111104,1.4,2017-06-30,Q2 2017,10,20,1.26,0.12698412698412692
ABC,-1q,2018-05-02,0.11,1.94,BTO,1.83,0.03389830508474579,1.83,2018-03-31,Q2 2018,9,21,1.77,0.09604519774011296
ABC,-2q,2018-02-06,0.2,1.55,BTO,1.35,-0.007352941176470594,1.35,2017-12-31,Q1 2018,9,21,1.36,0.13970588235294112
ABC,-3q,2017-11-02,0.01,1.33,BTO,1.32,0.015384615384615398,1.32,2017-09-30,Q4 2017,8,21,1.3,0.023076923076923096
