,,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
CBAN,-1q,-13348000,5051000,,,9797000,,,3188000,,-114000,,,2018-03-31,,89966000,1218420000.0,,,,12563000
CBAN,-2q,4297032,1647135,,,23145136,,,578978,,-97064,,,2017-12-31,,90322663,1232755317.0,,,,12439259
CBAN,-3q,-223000,3567000,,,18848000,,,2622000,,-14000,,,2017-09-30,,91602000,1195393000.0,,,,12267000
CBAN,-4q,-3028000,2219000,,,19071000,,,2433000,,-71000,,,2017-06-30,,88992000,1198449000.0,,,,12210000
CBAY,-1q,42527000,-6441000,,231176000,65581000,3219000,,-17005000,-12850000,,12850000,,2018-03-31,9477000,212199000,232259000.0,229536000,5361000,,
CBAY,-2q,45000,-6072000,,103544000,23054000,3108000,,-5043000,9563000,,-4356000,5207000.0,2017-12-31,6669000,84947000,104247000.0,97210000,6098000,,5207000.0
CBAY,-3q,13500000,-5466000,,103659000,23009000,3001000,,-8234000,6394000,,-6394000,,2017-09-30,4184000,86504000,104344000.0,102169000,6810000,,
CBAY,-4q,-4164000,-5891000,,17869000,9509000,2897000,,-8929000,7626000,,-7626000,,2017-06-30,4044000,2139000,18732000.0,16726000,7496000,,
CBB,-1q,14900000,58500000,149400000,722700000,412200000,18200000,146300000,-8300000,125100000,400000,21200000,295700000,2018-03-31,,-127900000,2186000000.0,32400000,1745100000,,295700000
CBB,-2q,352800000,46600000,278500000,710400000,396500000,18400000,148600000,-16200000,131200000,7500000,17400000,427100000,2017-12-31,,-143100000,2162400000.0,17800000,1747700000,,427100000
CBB,-3q,-14500000,33900000,162600000,257800000,43700000,12000000,126600000,-11200000,101800000,600000,24800000,289200000,2017-09-30,,-133500000,1457300000.0,43700000,1132800000,,289200000
CBB,-4q,13500000,69000000,165400000,273300000,58200000,10800000,128600000,2100000,102400000,500000,26200000,294000000,2017-06-30,,-124000000,1481700000.0,58200000,1126900000,,294000000
CBD,-1q,,,2661361740,,,,770633055,9682080,675627645,,95005410,3431994795,2018-03-31,,,,,,,3431994795
CBD,-2q,1674254210.0,1853573900.0,2839530310,10028619700.0,2219156635.0,412676795.0,936749155,89961730,659618725,-164225440.0,277130430,5082837745,2017-12-31,,3119377705.0,14468744280.0,1144747920.0,1420067040.0,,3776279465
CBD,-3q,-414393990.0,-152671470.0,2700356870,8635578800.0,570542450.0,448215620.0,748185030,9798790,680541770,13275780.0,67643260,3448541900,2017-09-30,,3223485820.0,13192648330.0,409968730.0,1503956220.0,,3448541900
CBD,-4q,274285870.0,406439040.0,2356076310,8155392880.0,942309560.0,449381260.0,868521520,49897650,633246540,19656650.0,235274980,3224597830,2017-06-30,,3074602470.0,12402136510.0,715502060.0,1552875350.0,,3224597830
CBFV,-1q,-7140000,1148000,,,13482000,95265000,,1360000,,-9000,,,2018-03-31,,92418000,965838000.0,,,,9687000
CBFV,-2q,-23123000,2197000,,,20622000,39605000,,1375000,,-158000,,,2017-12-31,,93256000,934486000.0,,64105000.0,,9517000
CBFV,-3q,15072000,2953000,,,43745000,24662000,,2064000,,-352000,,,2017-09-30,,93154000,908329000.0,,49162000.0,,9171000
CBFV,-4q,-6922000,2620000,,,28673000,25450000,,1801000,,-246000,,,2017-06-30,,91900000,872389000.0,,49950000.0,,9101000
CBIO,-1q,106920000,-5107000,,145433000,126725000,,,-5042000,6685000,116000.0,-6679000,6000,2018-03-31,3771000,142851000,145886000.0,143518000,,,6000
CBIO,-2q,3499000,-6317000,,39109000,14472000,,,-5753000,6147000,,-5829000,318000,2017-12-31,3561000,30774000,39513000.0,32443000,,,318000
CBIO,-3q,-21415000,-4929000,,34078000,10973000,5488000.0,,-5793000,6196000,,-5878000,318000,2017-09-30,3805000,24882000,34393000.0,27450000,,,318000
CBIO,-4q,24588000,-4402000,,39272000,32388000,5770000.0,,-5877000,6055000,,-5944000,111000,2017-06-30,3401000,30346000,39630000.0,32388000,,,111000
CBK,-1q,-5004000,-17379000,58557000,74138000,18073000,,27398000,-5319000,32562000,,-5218000,86849000,2018-04-30,,47418000,116105000.0,18073000,,,85955000
CBK,-2q,5210000,5922000,67162000,69951000,23077000,,25102000,-8825000,34634000,,-9532000,92264000,2018-01-31,,50409000,119364000.0,23077000,,,92264000
CBK,-3q,-4706000,-3390000,65229000,78375000,17867000,,33239000,-1622000,34778000,,-1539000,98468000,2017-10-31,,58931000,129683000.0,17867000,,,98468000
CBK,-4q,-5697000,-4677000,61990000,73146000,22573000,,24628000,-7889000,32346000,,-7718000,86618000,2017-07-31,,60262000,126092000.0,22573000,,,86618000
CBL,-1q,-9637000,98227000,67853000,119537000,58535000,,152347000,903000,90148000,-4099000,62199000,157180000,2018-03-31,,1161181000,5702570000.0,23346000,,,220200000
CBL,-2q,-9297000,93447000,65638000,132694000,68172000,,169718000,36464000,86722000,-7411000,82996000,171785000,2017-12-31,,1140004000,5704808000.0,32627000,,,235356000
CBL,-3q,1729000,131623000,64122000,143131000,31351000,,160528000,8965000,85432000,-5466000,75096000,160344000,2017-09-30,,1145891000,5743756000.0,31351000,,,224650000
CBL,-4q,2346000,100451000,60444000,139207000,29622000,,168789000,41396000,103280000,-94790000,65509000,165653000,2017-06-30,,1194113000,5808333000.0,29622000,,,229233000
CBLI,-1q,356497,-1199863,,8308060,4586340,,,-1224610,2063663,-555305,-1836087,227576,2018-03-31,1336470,1036489,8369723.0,7683606,,,227576
CBLI,-2q,-359718,-1279896,,9579990,4230548,,,-1169110,2083879,-11864,-1213528,870351,2017-12-31,1523978,2199726,9629262.0,8791905,,,870351
CBLI,-3q,660663,-1432883,,10822394,4590856,,,-1260864,1494203,-42687,-1197322,296881,2017-09-30,919067,3363643,10871519.0,10057041,,,296881
CBLI,-4q,104265,-1580526,,12176733,3932001,,,-5612788,1776668,-106705,-1570512,206156,2017-06-30,1188380,4607157,12230951.0,11456766,,,206156
CBLK,-1q,-2387000,-777000,10215000,88783000.0,33686000,,38219000,-20594000,56026000,2881000,-17807000,48434000,2018-03-31,14922000,-317347000.0,248593000.0,33686000.0,,,48434000
CBLK,-2q,-7595000,-7042000,7601000,,43908000,,28344000,-12439000,40835000,-126000,-12491000,35945000,2017-03-31,11547000,,,,,,35945000
CBM,-1q,3382000,24451000,90242000,462741000,187568000,,50855000,24058000,20474000,,30381000,139130000,2018-03-31,3619000,592737000,796220000.0,187568000,,,141097000
CBM,-2q,64361000,76930000,103406000,422078000,183284000,,78871000,40259000,22994000,,55877000,175505000,2017-12-31,4311000,544864000,740565000.0,183284000,,,182277000
CBM,-3q,22940000,35008000,65730000,378082000,118403000,,46889000,17296000,21784000,,25105000,112233000,2017-09-30,4233000,497877000,698351000.0,118403000,,,112619000
CBM,-4q,-7350000,1092000,77052000,366239000,94177000,,57502000,25030000,22947000,-1073000.0,34555000,134487000,2017-06-30,4467000,470562000,673081000.0,94177000,,,134554000
CBMG,-1q,23868039,-5612051,22300,48656053,45555891,,28661,-8496423,8537333,935.0,-8508672,50961,2018-03-31,5273951,81322070,86726156.0,45555891,,,50961
CBMG,-2q,5203805,-4641645,31425,24526944,21568422,,37266,-6922585,7473605,,-7436339,68691,2017-12-31,4140097,57302526,61162296.0,21568422,,,68691
CBMG,-3q,-11064272,-6173696,55294,19068603,16292031,,51493,-6202214,7185318,366.0,-7133825,106787,2017-09-30,4076186,49764215,53626626.0,16292031,,,106787
CBMG,-4q,-6195900,-2919388,38097,29399756,27298445,,24817,-6203518,6744987,-286.0,-6720170,62914,2017-06-30,3349509,55357066,59877442.0,27298445,,,62914
CBOE,-1q,24100000,163500000,449200000,512300000,166300000,,328500000,118100000,152000000,-100000.0,176500000,768200000,2018-03-31,,3175200000,5328200000.0,230300000,,,777700000
CBOE,-2q,14000000,195500000,355100000,434700000,143500000,,265600000,257400000,149000000,-1400000.0,116600000,594100000,2017-12-31,,3110600000,5265700000.0,190800000,,,620700000
CBOE,-3q,-27600000,6800000,341700000,374300000,124800000,,269700000,60500000,144500000,-200000.0,125200000,611400000,2017-09-30,,2877900000,5228100000.0,127200000,,,611400000
CBOE,-4q,-2000000,189800000,373900000,519700000,148600000,,266900000,68300000,143900000,,123000000,640800000,2017-06-30,,2816700000,5395600000.0,259000000,,,640800000
CBPO,-1q,-111829065,23334588,33691683,765977807,118205213,,78773207,31585077,39799244,-2308966,38973963,104639367,2018-03-31,1716954,1102415356,1406487015.0,260088666,,,112464890
CBPO,-2q,-2797022,29624443,30766754,593121611,219336848,,59347826,-24644413,39753244,2582164,19594582,105849254,2017-12-31,1812452,598192028,809057417.0,219336848,,,90114580
CBPO,-3q,-9317637,35662982,32424522,507154341,216445054,,67136729,31565115,29089643,-1097845,38047086,93431431,2017-09-30,1409226,602463067,753858771.0,216445054,,,99561251
CBPO,-4q,22317096,23863433,30110272,485292659,223243489,14465780.0,59167625,31030484,19766746,-916227,39400879,89277897,2017-06-30,1924671,551985833,718203759.0,223243489,,,89277897
CBPX,-1q,-8506000,13743000,86616000,148833000,63848000,1680000,30186000,13646000,9424000,364000,20762000,116802000,2018-03-31,,317909000,640616000.0,63848000,264922000,,116802000
CBPX,-2q,12658000,26575000,94432000,147439000,72521000,1702000,36960000,24236000,10389000,-546000,26571000,131392000,2017-12-31,,318026000,641934000.0,72521000,265312000,,131392000
CBPX,-3q,3710000,32598000,87952000,124505000,59948000,1712000,28574000,10987000,8867000,204000,19707000,116526000,2017-09-30,,298628000,621231000.0,59948000,265064000,322603000.0,116526000
CBPX,-4q,-2260000,23958000,89817000,126231000,55847000,1720000,30813000,12398000,9193000,359000,21620000,120630000,2017-06-30,,307488000,628825000.0,55847000,265496000,,120630000
CBRE,-1q,-132825000,-249958000,3619961000,5754300000,721813000,1611072000,1053991000,150288000,840400000,-35899000,213591000,2276899000,2018-03-31,,4357631000,11907442000.0,642854000,3369260000,,4673952000
CBRE,-2q,-203950000,463237000,2974208000,5452527000,751774000,910790000,1362004000,168400000,944251000,-52307000,417753000,-483984000,2017-12-31,,4019430000,11483830000.0,751774000,2910393000,,4336212000
CBRE,-3q,413527000,438005000,2513377000,5804734000,955605000,1416279000,1036600000,196317000,807489000,-69602000,229111000,3549977000,2017-09-30,,3795470000,11652014000.0,955605000,3967847000,,3549977000
CBRE,-4q,11025000,130661000,2318562000,4824336000,535681000,1054997000,1023653000,197165000,812760000,-78570000,210893000,3342215000,2017-06-30,,3539693000,10606218000.0,535681000,3605401000,,3342215000
CBRL,-1q,5486000,72470000,475079000,370075000,174294000,,246334000,48747000,183025000,1728000,63309000,721413000,2018-04-30,,640381000,1568331000.0,174294000,,,721413000
CBRL,-2q,48615000,110228000,524678000,372978000,168808000,,263093000,91139000,186419000,1825000,76674000,787771000,2018-01-31,,615625000,1556943000.0,168808000,,,787771000
CBRL,-3q,-40808000,38277000,458817000,349231000,120193000,,251551000,46380000,180713000,1204000,70838000,710368000,2017-10-31,,547702000,1521932000.0,120193000,,974230000.0,710368000
CBRL,-4q,-22692000,117695000,475313000,358857000,161001000,,267913000,53893000,184673000,1825000,83240000,743226000,2017-07-31,,544507000,1521942000.0,161001000,,,743226000
CBS,-1q,-138000000,717000000,2400000000,6191000000,147000000,236000000,1361000000,511000000,580000000,14000000,781000000,3707000000,2018-03-31,,1983000000,20591000000.0,147000000,9706000000,,3761000000
CBS,-2q,111000000,-100000000,2498000000,6273000000,285000000,698000000,1423000000,-41000000,1017000000,-16000000,406000000,3859000000,2017-12-31,,1978000000,20843000000.0,285000000,10162000000,,3921000000
CBS,-3q,-5000000,49000000,1862000000,6294000000,174000000,609000000,1309000000,592000000,602000000,16000000,707000000,3111000000,2017-09-30,,2994000000,23894000000.0,144000000,9689000000,,3171000000
CBS,-4q,9000000,219000000,2004000000,5686000000,179000000,286000000,1253000000,58000000,584000000,12000000,669000000,3203000000,2017-06-30,,2627000000,22653000000.0,170000000,9184000000,,3257000000
CBS.A,-1q,-138000000,717000000,2400000000,6191000000,147000000,236000000,1361000000,511000000,580000000,14000000,781000000,3707000000,2018-03-31,,1983000000,20591000000.0,147000000,9706000000,,3761000000
CBS.A,-2q,111000000,-100000000,2498000000,6273000000,285000000,698000000,1423000000,-41000000,1017000000,-16000000,406000000,3859000000,2017-12-31,,1978000000,20843000000.0,285000000,10162000000,,3921000000
CBS.A,-3q,-5000000,49000000,1862000000,6294000000,174000000,609000000,1309000000,592000000,602000000,16000000,707000000,3111000000,2017-09-30,,2994000000,23894000000.0,144000000,9689000000,,3171000000
CBS.A,-4q,9000000,219000000,2004000000,5686000000,179000000,286000000,1253000000,58000000,584000000,12000000,669000000,3203000000,2017-06-30,,2627000000,22653000000.0,170000000,9184000000,,3257000000
CBSH,-1q,60594000,143989000,,,584946000,,,100984000,,-25100000,,,2018-03-31,,2703122000,24611242000.0,,,,317992000
CBSH,-2q,-87931000,98916000,,,511845000,,,94355000,,-28666000,,,2017-12-31,,2716560000,24833415000.0,,,,341429000
CBSH,-3q,68649000,122292000,,,599776000,,,74564000,,1521000,,,2017-09-30,,2700544000,24979141000.0,,,,301796000
CBSH,-4q,-4443000,73743000,,,531127000,,,78960000,,-5998000,,,2017-06-30,,2623883000,25078843000.0,,,,307542000
CBSHP,-1q,60594000,143989000,,,584946000,,,100984000,,-25100000,,,2018-03-31,,2703122000,24611242000.0,,,,317992000
CBSHP,-2q,-87931000,98916000,,,511845000,,,94355000,,-28666000,,,2017-12-31,,2716560000,24833415000.0,,,,341429000
CBSHP,-3q,68649000,122292000,,,599776000,,,74564000,,1521000,,,2017-09-30,,2700544000,24979141000.0,,,,301796000
CBSHP,-4q,-4443000,73743000,,,531127000,,,78960000,,-5998000,,,2017-06-30,,2623883000,25078843000.0,,,,307542000
CBT,-1q,-35000000,36000000,628000000,1387000000,179000000,304000000,190000000,-173000000,94000000,-12000000,96000000,818000000,2018-03-31,16000000,1216000000,3117000000.0,179000000,935000000,,818000000
CBT,-2q,-92000000,45000000,542000000,1281000000,189000000,293000000,178000000,-122000000,84000000,-11000000,94000000,720000000,2017-12-31,15000000,1348000000,3189000000.0,189000000,924000000,,720000000
CBT,-3q,58000000,157000000,556000000,1262000000,280000000,263000000,167000000,68000000,85000000,-1000000,82000000,723000000,2017-09-30,16000000,1480000000,3314000000.0,280000000,924000000,,723000000
CBT,-4q,39000000,125000000,546000000,1164000000,198000000,258000000,159000000,45000000,77000000,-3000000,82000000,705000000,2017-06-30,14000000,1373000000,3178000000.0,198000000,923000000,,705000000
CBTX,-1q,-46284000,7702000,,,279915000,,,9112000,,-136000,,,2018-03-31,,451571000,3074790000.0,,,,32400000
CBTX,-2q,-22379000,8576000,,,326199000,,,1957000,,1000,,,2017-12-31,,446214000,3081083000.0,,,2634869000.0,31309000
CBTX,-3q,41405000,9355000,,,348578000,,,10047000,,-847000,,,2017-09-30,,381121000,2989838000.0,,,2608717000.0,31337000
CBTX,-4q,34818000,6831000,,,307173000,,,8705000,,-409000,,,2017-06-30,,371964000,2940877000.0,,,,30051000
CBU,-1q,322861000,60908000,,,543899000,,,40106000,,-80000,,,2018-03-31,,1631466000,10966555000.0,,124862000,,142115000
CBU,-2q,-20442000,50818000,,,221038000,24000000.0,,72026000,,24000,,,2017-12-31,,1635315000,10746198000.0,,148885000,,139915000
CBU,-3q,21785000,46772000,,,241480000,,,35243000,,-102000,,,2017-09-30,,1593245000,10850218000.0,,126394000,9256973000.0,137336000
CBU,-4q,-71491000,49423000,,,219695000,179000000.0,,17191000,,310000,,,2017-06-30,,1572900000,10884046000.0,,305410000,,129255000
CBZ,-1q,-3341000,-20500000,204750000,463562000,30068000,1743000,61340000,35851000,10028000,,51312000,266090000,2018-03-31,,571616000,1214353000.0,295000,217569000,,266090000
CBZ,-2q,-854000,38304000,189975000,448173000,424000,1861000,5167000,4847000,7316000,,-2149000,195142000,2017-12-31,,530879000,1176231000.0,424000,181697000,,195142000
CBZ,-3q,117000,16433000,184723000,403855000,1278000,16865000,23000000,9658000,7979000,,15021000,207723000,2017-09-30,,530486000,1128688000.0,1278000,223703000,,207723000
CBZ,-4q,-34000,31686000,188120000,428595000,1161000,19606000,22896000,10998000,9232000,-23000.0,13664000,211016000,2017-06-30,,523362000,1150666000.0,1161000,230812000,,211016000
CC,-1q,-133000000,196000000,1193000000,3584000000,1434000000,14000000,537000000,297000000,148000000,-25000000.0,389000000,1730000000,2018-03-31,20000000,997000000,7484000000.0,1434000000,4155000000,,1730000000
CC,-2q,20000000,303000000,1088000000,3493000000,1556000000,15000000,487000000,228000000,177000000,,310000000,1575000000,2017-12-31,19000000,860000000,7293000000.0,1556000000,4112000000,,1575000000
CC,-3q,-7000000,112000000,1117000000,3433000000,1535000000,14000000,467000000,207000000,168000000,4000000.0,299000000,1584000000,2017-09-30,20000000,800000000,7120000000.0,1535000000,4095000000,,1584000000
CC,-4q,620000000,183000000,1147000000,3440000000,1529000000,14000000,441000000,161000000,178000000,5000000.0,263000000,1588000000,2017-06-30,21000000,567000000,7052000000.0,1529000000,4070000000,,1588000000
CCA,-1q,,,,,,,,,,,,,2017-11-30,,34664891,59191840.0,,,,
CCA,-2q,,,,,,,,,,,,,2017-05-31,,35112679,60078975.0,,,,
CCA,-3q,,,,,,,,,,,,,2016-11-30,,33542756,58031287.0,,,,
CCA,-4q,,,,,,,,,,,,,2016-05-31,,36574772,61014060.0,,,,
CCBG,-1q,13183000,2190000,,,298625000,4893000,,5773000,,526000,,,2018-03-31,,288360000,2924832000.0,,71113000,,34240000
CCBG,-2q,94328000,2550000,,,285442000,7480000,,3000,,6396000,,,2017-12-31,,284210000,2898794000.0,,74334000,,34386000
CCBG,-3q,-44064000,200000,,,191114000,6777000,,4555000,,-223000,,,2017-09-30,,285201000,2790842000.0,,74711000,,34257000
CCBG,-4q,-103369000,12109000,,,235178000,6105000,,3561000,,-2923000,,,2017-06-30,,281513000,2814843000.0,,74623000,,33631000
CCCL,-1q,,,,112012256.25,,,,,,,,,2017-12-31,,106815660.0,126908017.5,357930.0,,,
CCCL,-2q,,,,115946265.5,,,,,,,,,2017-06-30,,113732720.4,137437070.55,24640.85,,,
CCCL,-3q,-3682950.642,-3828955.488,41611669.088,112566136.541,15838.79,,-12536834.252,-50757706.379,4423342.08,,-16960176.332,29074834.836,2016-12-31,,111224159.061,134094219.909,15838.79,,,29074834.836
CCCL,-4q,3483008.28,3850108.88,36856146.44,146673650.2,3862923.48,,1013559.48,183022.64,1261107.4,,-247547.92,37869705.92,2016-09-30,,169588868.68,207788135.96,3862923.48,,,37869705.92
CCCR,-1q,-275680,-608646,,,2265145,,,-385898,,,,,2018-03-31,,-3335716,7310041.0,,,,100337
CCCR,-2q,-531674,63999,,,2498194,,,-2169496,,,,,2017-12-31,,-4196597,7165284.0,,,,-1899594
CCCR,-3q,1097073,-570575,,,3030468,,,-2515292,,,,,2017-09-30,,277606,7714013.0,,,,-1010305
CCCR,-4q,808209,-314973,,,1906585,,,-4729875,,,,,2017-06-30,,551899,6758934.0,,,,361476
CCE,-1q,-141800290,27127012,1838471586,4130704100,302096270,485820124,1093711802,152897704,863132200,,230579602,2932183388,2018-03-31,,8234281188,22419242372.0,302096270,7203454732,,2932183388
CCE,-2q,-132051260,588228340,2013181482,3978344324,432167760,328927684,1182459010,-73228426,944766742,,237692268,3195640492,2017-12-31,,8025115210,21841278404.0,432167760,6900278568,,3195640492
CCE,-3q,196083050,778461450,2082942100,4400714200,555372950,1056735000,1397238500,356941600,895876450,,501362050,3480180600,2017-09-30,,7946647200,21996526100.0,555372950,7091866000,14049878900.0,3480180600
CCE,-4q,-60550380,325601100,2116978380,4373336880,349592760,1228144500,1372094460,340453080,896831100,,475263360,3489072840,2017-06-30,,7517386800,21521661480.0,349592760,7253478540,,3489072840
CCF,-1q,-11553000,13430000,41991000,126724000,44137000,,23884000,10122000,12138000,-1175000,11746000,65875000,2018-02-28,,225486000,323733000.0,44137000,,,65875000
CCF,-2q,5799000,6554000,36895000,121471000,54262000,,25022000,8315000,12059000,-1000,12963000,61917000,2017-11-30,,214104000,259254000.0,54262000,,45150000.0,61917000
CCF,-3q,-7092000,13596000,40378000,114135000,47354000,,28616000,11413000,12169000,-58000,16447000,68994000,2017-08-31,,210929000,254738000.0,47354000,,43809000.0,68994000
CCF,-4q,12379000,15844000,37511000,121104000,54130000,,27390000,11855000,12297000,-2014000,15093000,64901000,2017-05-31,,197795000,263715000.0,54130000,20000000.0,65920000.0,64901000
CCI,-1q,-95000000,452000000,433000000,1074000000,345000000,130000000,866000000,114000000,508000000,71000000.0,358000000,1299000000,2018-03-31,,12832000000,32250000000.0,220000000,15746000000,,1299000000
CCI,-2q,-6405355000,626895000,438595000,1133780000,314094000,115251000,799495000,98104000,489677000,328000.0,309818000,1238090000,2017-12-31,,12339082000,32229570000.0,314094000,16159620000,,1238090000
CCI,-3q,6519310000,483182000,387374000,7474555000,6719134000,114198000,675864000,115194000,396805000,,279059000,1063238000,2017-09-30,,12672332000,31011756000.0,6719134000,15204415000,,1063238000
CCI,-4q,3362000,492109000,373907000,951335000,199663000,114932000,664428000,112114000,393351000,-475000.0,271077000,1038335000,2017-06-30,,7590309000,24483624000.0,199663000,13841265000,,1038335000
CCIH,-1q,,,,163665491.25,,13120563.75,,,,,,,2017-12-31,,-76657751.25,246927881.25,16406355.0,45869160.0,,
CCIH,-2q,,,,266233318.0,,13301632.5,,,,,,,2017-06-30,,-38844898.3,274440786.75,19538275.9,15799801.55,,
CCIH,-3q,,,39730452.803,249841505.427,,15263121.978,-1816421.235,-82375674.933,16829002.353,,-18645423.588,37914031.568,2016-12-31,3614411.878,-20475955.745,260019223.903,19427571.836,21591582.517,,37914031.568
CCIH,-4q,,,38463851.08,226971290.64,,14134503.8,981447.6,-14195712.36,16470228.48,,-15488780.88,39445298.68,2016-09-30,3623818.12,64274867.64,310335238.72,38137455.68,23022710.36,246060371.08,39445298.68
CCJ,-1q,167641299.5,213102900.5,287421597.0,1551198805.5,629297514.5,,52888281.5,42448021.5,35257563.5,26338421.5,17630718.0,340309878.5,2018-03-31,921655.0,3810347149.5,5993881058.5,629297514.5,,,340309878.5
CCJ,-2q,191710715.98,254444062.79,454806228.37,1698148353.43,470438475.4,,188464036.87,-49003146.42,47359530.03,-571727.23,141104506.84,643270265.24,2017-12-31,278309.5,3863960038.96,6185410348.59,470438475.4,,2321450309.63,643270265.24
CCJ,-3q,56270184.28,123977076.74,350321841.38,1504875549.38,283635522.16,,41134905.78,-99729191.68,32098076.38,-17439226.62,9036829.4,391456747.16,2017-09-30,760190.02,3988887130.48,6215778746.3,283635522.16,,2226891615.82,391456747.16
CCJ,-4q,29980535.336,100240280.847,290665886.81,1478285962.204,218030651.259,,71627194.81,-1206255.332,31409685.675,-16737178.363,40217509.135,362293081.62,2017-06-30,1826350.784,3969610449.648,6117794629.551,218030651.259,,2148184179.903,362293081.62
CCK,-1q,1762000000,-751000000,1873000000,5261000000,2211000000,93000000,-1873000000,90000000,73000000,14000000,-1946000000,2197000000,2018-03-31,,765000000,13079000000.0,2201000000,7871000000,,2197000000
CCK,-2q,52000000,272000000,1822000000,3074000000,424000000,126000000,346000000,-89000000,102000000,-246000000,244000000,2168000000,2017-12-31,,601000000,10663000000.0,424000000,5343000000,,2168000000
CCK,-3q,68000000,456000000,2019000000,3153000000,374000000,118000000,449000000,177000000,90000000,-15000000,359000000,2468000000,2017-09-30,,798000000,10496000000.0,374000000,5232000000,,2468000000
CCK,-4q,-44000000,609000000,1780000000,3020000000,301000000,97000000,381000000,128000000,92000000,-8000000,289000000,2161000000,2017-06-30,,622000000,10266000000.0,301000000,5359000000,,2161000000
CCL,-1q,610000000,2023000000,2681000000,2278000000,1053000000,1685000000,1676000000,561000000,1117000000,-41000000,559000000,4357000000,2018-05-31,,23933000000,42184000000.0,1053000000,9857000000,,4357000000
CCL,-2q,46000000,1064000000,2709000000,1667000000,453000000,2114000000,1523000000,391000000,1104000000,-16000000,419000000,4232000000,2018-02-28,,24382000000,41441000000.0,453000000,9559000000,,4232000000
CCL,-3q,-94000000,1024000000,2617000000,1596000000,395000000,2202000000,1642000000,546000000,1094000000,-54000000,548000000,4259000000,2017-11-30,,24216000000,40778000000.0,395000000,9195000000,,4259000000
CCL,-4q,-105000000,1449000000,3013000000,1661000000,489000000,1447000000,2502000000,1329000000,1020000000,-8000000,1482000000,5515000000,2017-08-31,,24172000000,40643000000.0,489000000,9170000000,,5515000000
CCLP,-1q,91254000,-365000,57986000,210686000,98807000,,27431000,-15737000,25664000,85000,1767000,85417000,2018-03-31,,,853941000.0,90100000,,,85417000
CCLP,-2q,224000,14496000,55348000,102147000,7601000,,27753000,-10673000,25040000,-67000,2713000,83101000,2017-12-31,,,742932000.0,7601000,,,83101000
CCLP,-3q,2424000,13218000,45504000,99571000,7378000,,26094000,-7821000,23691000,-32000,2403000,71598000,2017-09-30,,,745942000.0,7378000,,,71598000
CCLP,-4q,-241000,9533000,50585000,95218000,5020000,,24730000,-6372000,25434000,-10000,-704000,75315000,2017-06-30,,,757418000.0,5020000,,,75315000
CCM,-1q,,,,170837160.0,,122149301.25,,,,,,,2017-12-31,,143610033.75,532803712.5,18002741.25,191041908.75,,
CCM,-2q,,,,236511436.2,,103322920.35,,,,,,,2017-06-30,,158131253.15,550452095.7,95825904.85,136256080.35,,
CCM,-3q,,,11060497.015,211743831.86,,162251723.12,8447174.505,-2739127.97,8535057.745,,-87883.24,19507671.52,2016-06-30,,197296820.405,513651503.895,38049379.825,240183841.525,,19507671.52
CCM,-4q,,,12339209.62,221683699.84,,179002504.48,7043755.56,-4986729.6,9329495.02,,-2285739.46,19382965.18,2016-03-31,,210431305.76,539318682.74,42720270.48,268389167.38,,19382965.18
CCMP,-1q,81060000,36516000,67933000,631186000,461434000,14625000,75045000,29737000,37957000,-292000,37088000,142978000,2018-03-31,13368000,635511000,898973000.0,461434000,138998000,,142978000
CCMP,-2q,-28495000,30618000,65965000,588043000,377230000,17906000,74014000,-3083000,36902000,-657000,37112000,139979000,2017-12-31,12151000,601668000,857999000.0,425502000,142216000,,139979000
CCMP,-3q,33772000,51353000,66734000,550982000,397890000,12438000,70050000,26502000,37008000,-1234000,33042000,136784000,2017-09-30,13839000,595037000,834100000.0,397890000,145435000,,136784000
CCMP,-4q,22263000,32107000,65414000,517802000,363902000,11344000,62543000,19939000,35632000,87000,26911000,127957000,2017-06-30,14333000,575022000,801274000.0,363902000,148653000,,127957000
CCNE,-1q,-6741000,4142000,,,28604000,91009000,,7097000,,-215000,,,2018-03-31,,244811000,2908883000.0,,427018000,,28851000
CCNE,-2q,-330000,10835000,,,35345000,34416000,,3451000,,-52000,,,2017-12-31,,243910000,2768773000.0,,327979000,,29342000
CCNE,-3q,2626000,8245000,,,35675000,141737000,,7246000,,-346000,,,2017-09-30,,244448000,2745069000.0,,412778000,,28549000
CCNE,-4q,4680000,11457000,,,33049000,44959000,,6683000,,112000,,,2017-06-30,,240292000,2678909000.0,,333560000,,27542000
CCO,-1q,8268000,5026000,360202000,1003653000,199870000,487000,238509000,-126932000,246849000,-19976000,-8340000,598711000,2018-03-31,,-2151678000,4615525000.0,153229000,5271346000,,598711000
CCO,-2q,-80706000,75519000,368561000,974172000,144119000,573000,360570000,-544299000,239753000,850505000,120817000,729131000,2017-12-31,,-1998445000,4670782000.0,144119000,5266726000,,729131000
CCO,-3q,58055000,92307000,356100000,1049193000,222387000,573000,288989000,-61639000,244826000,-10336000,44163000,645089000,2017-09-30,,-1436508000,5580488000.0,222387000,5264863000,,645089000
