,,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
AAON,-1q,-13284000,10744000,83692000,154687000,8173000,,15390000,4260000,10219000,-4000,5171000,89696000,2018-03-31,,239611000,306945000.0,23115000,,,99082000
AAON,-2q,-2058000,16129000,73085000,153727000,21457000,,31075000,15770000,13714000,5000,17361000,104160000,2017-12-31,,237226000,296780000.0,30414000,,,104160000
AAON,-3q,-10037000,8105000,78010000,164141000,23515000,,35658000,14717000,13034000,-42000,22624000,113668000,2017-09-30,,230298000,303138000.0,39897000,,,113668000
AAON,-4q,1929000,23594000,69648000,159716000,33552000,,31678000,13794000,11971000,29000,19707000,101326000,2017-06-30,,217747000,285011000.0,51804000,,,101326000
AAP,-1q,93269000,153970000,1601564000,5617516000,639143000,,1272284000,136727000,1074043000,3208000,198241000,2873848000,2018-04-30,,3546621000,8614953000.0,639143000,,,2873848000
AAP,-2q,93269000,153970000,1601564000,5617516000,639143000,,1272284000,136727000,1074043000,3208000,198241000,2873848000,2018-03-31,,3546621000,8614953000.0,639143000,,,2873848000
AAP,-3q,183008000,199800000,1163417000,5426892000,546937000,,873569000,184500000,786417000,12414000,87152000,2036986000,2017-12-31,,3415196000,8482301000.0,546937000,,,2036986000
AAP,-4q,104814000,133656000,1234525000,5367952000,363302000,350000.0,947708000,95996000,791139000,331000,156569000,2182233000,2017-09-30,,3230787000,8468224000.0,363302000,1044358000.0,,2182233000
AAPL,-1q,17568000000,15130000000,37715000000,130053000000,45059000000,20478000000,23422000000,13822000000,7528000000,,15894000000,61137000000,2018-03-31,3378000000,126878000000,367502000000.0,87940000000,121840000000,,61137000000
AAPL,-2q,7202000000,28293000000,54381000000,143810000000,27491000000,18478000000,33912000000,20065000000,7638000000,,26274000000,88293000000,2017-12-31,3407000000,140199000000,406794000000.0,77153000000,122400000000,,88293000000
AAPL,-3q,1718000000,15656000000,32648000000,128645000000,20289000000,18473000000,19931000000,10714000000,6811000000,,13120000000,52579000000,2017-09-30,2997000000,134047000000,375319000000.0,74181000000,115680000000,,52579000000
AAPL,-4q,3414000000,8138000000,27920000000,112875000000,18571000000,18475000000,17488000000,8717000000,6720000000,,10768000000,45408000000,2017-06-30,2937000000,132425000000,345173000000.0,76759000000,108339000000,,45408000000
AAT,-1q,-26729000,43972000,28966000,74022000,65225000,,51766000,-453000,38846000,,12920000,76201000,2018-03-31,,823040000,2213566000.0,55336000,,,80732000
AAT,-2q,-12203000,20084000,55800000,101823000,91954000,,25946000,7077000,2154000,,23792000,65566000,2017-12-31,,833710000,2259864000.0,82610000,,,81746000
AAT,-3q,62827000,41889000,21177000,151594000,94207000,,61162000,9094000,34685000,,26477000,82339000,2017-09-30,,836460000,2275618000.0,94207000,,,82339000
AAT,-4q,-158616000,36275000,27745000,84998000,31380000,,49361000,5519000,29313000,,20048000,77106000,2017-06-30,,839065000,2171176000.0,31380000,,,77106000
AAU,-1q,-3147286.8565,-460544.8075,,9866850.4055,9503809.7265,,,-683434.29,897197.839,,-897197.839,,2018-03-31,,49691837.1285,51492713.8225,9503809.7265,,,
AAU,-2q,-656066.93605,-598037.01979,,13282119.70949,12988731.40078,,,-1153005.24687,1333017.42181,,-1333017.42181,,2017-12-31,,51471602.98821,53119897.36332,12988731.40078,,,
AAU,-3q,-2258377.0258,-466884.84854,,14038657.23696,13833039.13786,,,-1177580.29096,1228737.93536,,-1228737.93536,,2017-09-30,,51295286.35588,52909661.51374,13833039.13786,,,
AAU,-4q,6900798.5662,-472623.796296,,15644207.682966,15395233.960147,,,-632695.575631,668432.046736,1357.42288,-668432.046736,,2017-06-30,,49585351.286878,50940987.92177,15395233.960147,,,
AAV,-1q,1370865.0,47170922.5,938694.0,45477865.5,6727307.0,,44025678.0,7824773.5,38577845.0,,5447833.0,44964372.0,2018-03-31,,1024730107.0,1337604097.5,6727307.0,,,44964372.0
AAV,-2q,,23734234.16,1385981.31,55891704.13,5499395.72,,41375875.78,17036517.25,38972872.04,,2403003.74,42761857.09,2017-12-31,,1043005404.92,1344777190.94,5499395.72,,,42761857.09
AAV,-3q,,45676698.54,419192.8,34795420.82,,,35310544.28,10500779.64,36156185.14,,-845640.86,34891351.48,2017-09-30,,1038478415.54,1293654777.28,,,,34891351.48
AAV,-4q,,34230194.466,2461871.496,30357682.943,,,49168016.25,14144192.157,35736471.105,,13431545.145,51629887.746,2017-06-30,,981609557.99,1189087788.883,,,,51629887.746
AAWW,-1q,-161460000,69125000,324212000,433193000,130404000,223308000,265802000,9612000,225233000,,40569000,590014000,2018-03-31,,1792299000,5016832000.0,136421000,2270870000,,590014000
AAWW,-2q,115584000,136613000,302770000,587586000,291864000,218013000,325182000,209448000,218423000,-95000.0,106759000,627952000,2017-12-31,,1789856000,4955462000.0,294413000,2226999000,,627952000
