symbol,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,primaryExchange,sector,week52High,week52Low,ytdChange
AEL,839588,close,0.35,0.00982,36,1530302415723,American Equity Investment Life Holding Company,36,1530302415723,0.004,0.00011,36.004,1530303064401,36.29,0,0,0,0,1530302388926,0.0112,35.96,100,9925,36,Close,"June 29, 2018",1530302415723,886161,35.56,3243455640,35.86,1530279001003,10.78,35.65,New York Stock Exchange,Financial Services,37.16,25.43,0.17789268007787148
AEM,1075216,close,1.26,0.02827,45.83,1530302520726,Agnico Eagle Mines Limited,45.83,1530302520726,0,0,45.83,1530303727659,46.22,0,0,0,0,1530302395093,0.00769,45.83,5,9661,45.83,Close,"June 29, 2018",1530302520726,1256307,44.74,10706066600,44.81,1530279001026,50.92,44.57,New York Stock Exchange,Basic Materials,51.86,37.35,0.014204884841600646
AEMD,98109,close,0.011,0.00867,1.28,1530302400584,Aethlon Medical Inc.,1.28,1530302400584,0.04,0.03125,1.32,1529614797859,1.29,0,0,0,0,0,0,0,0,0,1.28,Close,"June 29, 2018",1530302400584,48136,1.26,22734344,1.28,1530279000691,-1.47,1.269,NASDAQ Capital Market,Technology,3.85,0.7906,0.11211827586206906
AEO,4591468,close,-0.71,-0.02963,23.25,1530302457329,American Eagle Outfitters Inc.,23.25,1530302457329,0,0,23.25,1530304888000,24.27,0,0,0,0,1530302380013,0.02735,23.235,200,107125,23.25,Close,"June 29, 2018",1530302457329,3916819,23.17,4106263317,24.13,1530279001003,19.54,23.96,New York Stock Exchange,Consumer Cyclical,25.775,10.23,0.19103467160182702
AEP,3325789,close,-0.09,-0.0013,69.25,1530302430141,American Electric Power Company Inc.,69.25,1530302430141,0,0,69.25,1530305959359,69.57,0,0,0,0,1530302380038,0.02405,69.25,5,70769,69.25,Close,"June 29, 2018",1530302430141,2942578,68.5,34107250298,69.1,1530279001013,18.92,69.34,New York Stock Exchange,Utilities,78.07,62.705,-0.026665822077540098
AER,910539,close,0.13,0.00241,54.15,1530302607808,Aercap Holdings N.V.,54.15,1530302607808,0,0,54.15,1530304331620,54.415,0,0,0,0,1530302395049,0.04021,54.165,200,38681,54.15,Close,"June 29, 2018",1530302607808,961975,54.05,7968510504,54.07,1530279001366,8.11,54.02,New York Stock Exchange,Industrials,56.26,46,0.03129086642599271
AERI,461453,close,0.35,0.00521,67.55,1530302400643,Aerie Pharmaceuticals Inc.,67.55,1530302400643,0.192,0.00284,67.742,1530303064401,68.65,0,0,0,0,1530302395029,0.05314,67.6,26,25137,67.55,Close,"June 29, 2018",1530302400643,473033,66.6,2667989926,67.75,1530279000363,-16.32,67.2,NASDAQ Global Market,Healthcare,71.3,47.05,0.1226624400330851
AES,6715257,close,-0.1,-0.0074,13.41,1530302518832,The AES Corporation,13.41,1530302518832,0,0,13.41,1530304418938,13.53,0,0,0,0,1530302395474,0.04013,13.415,141,251601,13.41,Close,"June 29, 2018",1530302518832,6269649,13.255,8869370688,13.51,1530279001036,11.18,13.51,New York Stock Exchange,Utilities,13.555,9.865,0.2523936982131785
AET,1833873,close,-1.86,-0.01003,183.5,1530302688262,Aetna Inc.,183.5,1530302688262,0,0,183.5,1530303099066,185.79,0,0,0,0,1530302399913,0.05143,183.7,100,128050,183.5,Close,"June 29, 2018",1530302688262,2489792,183.46,60022850000,185.25,1530279121554,17.8,185.36,New York Stock Exchange,Healthcare,194.4,149.69,0.01123172294366032
AETI,1967103,close,-0.01,-0.00794,1.25,1530302400414,American Electric Technologies Inc.,1.25,1530302400414,-0.05,-0.04,1.2,1530278199989,1.26,0,0,0,0,1530283660814,0.00087,1.24,100,100,1.25,Close,"June 29, 2018",1530302400414,114943,1.2,10942045,1.25,1530279000441,,1.26,NASDAQ Capital Market,Industrials,2.53,0.6162,-0.2503642424242424
AEUA,179481,close,-0.44,-0.0132,32.89,1528315325728,Anadarko Petroleum Corporation 7.50% Tangible Equity Units,32.89,1528315325728,1.07,0.03253,33.96,1528142478277,33.42,,,,,,,,,,32.89,Close,"June 6, 2018",1528315325728,8393,32.76,0,33.41,1528291846309,,33.33,New York Stock Exchange,Energy,44.93,28.6,-0.03194205655434956
AEY,15271,close,0.02,0.0155,1.31,1530302400243,ADDvantage Technologies Group Inc.,1.31,1530302400243,0.01,0.00763,1.32,1528376890205,1.32,0,0,0,0,1530302150705,0.00777,1.31,63,63,1.31,Close,"June 29, 2018",1530302400243,8108,1.281,13501050,1.3,1530279000268,,1.29,NASDAQ Global Market,Technology,2.33,1.21,-0.09334353741496594
AEZS,258356,close,-0.03,-0.01515,1.95,1530302400262,Aeterna Zentaris Inc.,1.95,1530302400262,0.03,0.01538,1.98,1530277546226,2.087,0,0,0,0,1530302250195,0.00339,1.965,9,309,1.95,Close,"June 29, 2018",1530302400262,91150,1.93,32059482,2,1530279000730,-7.22,1.98,NASDAQ Capital Market,Healthcare,3.29,0.9701,-0.19236518987341777
AFB,69660,close,-0.07,-0.00552,12.62,1530302520712,AllianceBernstein National Municipal Income Fund Inc,12.62,1530302520712,-0.06,-0.00475,12.56,1528833722006,12.7,0,0,0,0,0,0,0,0,0,12.62,Close,"June 29, 2018",1530302520712,55495,12.62,362761092,12.68,1530279001002,,12.69,New York Stock Exchange,Financial Services,14.22,12.32,-0.04217592891711577
AFC,7649,close,0.0001,0,25.38,1530302522255,Allied Capital Corporation 6.875% Notes due April 15 2047,25.38,1530302522255,,,,,25.482,0,0,0,0,0,0,0,0,0,25.38,Close,"June 29, 2018",1530302522255,6323,25.38,203040000,25.26,1530192600284,,25.3799,New York Stock Exchange,Financial Services,26.311,25.14,-0.0015735641227381076
AFG,359696,close,1.15,0.01083,107.33,1530302530819,American Financial Group Inc.,107.33,1530302530819,0,0,107.33,1530305156990,108.36,0,0,0,0,1530302380710,0.04428,107.36,40,19327,107.33,Close,"June 29, 2018",1530302530819,436472,106.09,9545417270,106.66,1530279001012,14.72,106.18,New York Stock Exchange,Financial Services,121.69,95.19,0.039632245286853066
AFGE,0,close,-0.06,-0.00232,25.83,1530302520886,,25.83,1530302520886,0.17,0.00658,26,1528316874287,25.92,0,0,0,0,1530283780533,0.05909,25.855,300,400,25.83,Close,"June 29, 2018",1530302520886,6769,25.82,0,25.89,1530279001007,,25.89,,,25.83,0,0.00039739130434769893
AFGH,0,close,0.02,0.00078,25.8,1530302520886,,25.8,1530302520886,-0.21,-0.00814,25.59,1528316873693,25.92,0,0,0,0,0,0,0,0,0,25.8,Close,"June 29, 2018",1530302520886,11923,25.76,0,25.87,1530279001005,,25.78,,,25.8,0,0.01356145903338259
AFH,144119,close,0.1,0.01156,8.75,1530302400478,Atlas Financial Holdings Inc.,8.75,1530302400478,0,0,8.75,1530302536097,9.2,0,0,0,0,1530302378102,0.07526,8.775,100,11822,8.75,Close,"June 29, 2018",1530302400478,157082,8.45,104448488,8.75,1530279000684,-2.37,8.65,NASDAQ Global Market,Financial Services,21.5,8.45,-0.5747284160756501
AFHBL,2429,close,-0.35,-0.01408,24.5,1530302400655,Atlas Financial Holdings Inc. 6.625% Senior Unsecured Notes Due 2022,24.52,1530302400655,,,,,24.73,0,0,0,0,0,0,0,0,0,24.5,Close,"June 29, 2018",1530302400655,8663,24.43,0,24.59,1530294136117,,24.85,NASDAQ Global Market,,27.871,24.43,-0.04846001284865776
